time_tick,att_X_value,att_Y_value,att_Z_value
19.290275,0.274337,2.278627,82.667933
19.335239,0.266818,2.289743,82.668154
19.365211,0.260865,2.274646,82.665274
19.395185,0.274612,2.275705,82.668866
19.425159,0.299887,2.268081,82.670545
19.460115,0.284195,2.241964,82.678322
19.490091,0.277455,2.232082,82.681652
19.520073,0.286180,2.247003,82.680063
19.560031,0.251242,2.238609,82.679413
19.590005,0.225576,2.224971,82.674220
19.634979,0.213014,2.226089,82.658210
19.654964,0.218003,2.238257,82.649064
19.694927,0.216262,2.255451,82.639125
19.724901,0.184738,2.265635,82.634454
19.759856,0.148228,2.270538,82.627604
19.789847,0.137932,2.278202,82.621255
19.819799,0.130842,2.288766,82.618496
19.849786,0.111847,2.289055,82.613197
19.889734,0.101957,2.287268,82.604435
19.919710,0.089586,2.301742,82.599506
19.964691,0.066593,2.291181,82.588180
19.994646,0.038177,2.290236,82.581720
20.024644,0.018514,2.301092,82.575324
20.059616,-0.010808,2.309753,82.570621
20.089589,-0.028279,2.295059,82.561985
20.119564,-0.031068,2.308568,82.556956
20.159512,-0.013532,2.298542,82.549304
20.189488,-0.014058,2.277011,82.543417
20.219455,0.000071,2.258775,82.536384
20.264437,0.028396,2.256172,82.528032
20.289416,0.038375,2.238359,82.522693
20.329384,0.034703,2.214833,82.514336
20.359357,0.052180,2.231784,82.508596
20.399321,0.050087,2.231813,82.507792
20.429295,0.046105,2.225271,82.505715
20.459270,0.056557,2.225937,82.501374
20.494226,0.064894,2.237265,82.500349
20.534190,0.080624,2.234957,82.500858
20.564181,0.106010,2.174785,82.489353
20.594150,0.137966,2.142024,82.462738
20.629124,0.332493,2.052368,82.428228
20.659099,0.603126,2.081343,82.381041
20.699063,0.411415,2.043550,82.347946
20.719046,0.473648,2.031895,82.341368
20.749022,0.401676,2.049113,82.328146
20.788986,0.355732,2.040399,82.313472
20.833932,0.372671,2.035555,82.301944
20.863903,0.419855,2.036332,82.293464
20.893893,0.406437,2.033033,82.285764
20.928867,0.416879,2.020929,82.279645
20.953825,0.428824,2.034591,82.271151
20.988815,0.423909,2.030897,82.263768
21.018789,0.460632,2.037856,82.258142
21.058753,0.457019,2.039861,82.248504
21.088728,0.445491,2.043603,82.242482
21.118703,0.457550,2.047578,82.235398
21.163663,0.459017,2.059200,82.226236
21.208621,0.469565,2.056826,82.217424
21.228599,0.474644,2.057252,82.213485
21.268558,0.483041,2.053493,82.207265
21.288551,0.492885,2.052243,82.204700
21.318504,0.502501,2.051561,82.200358
21.348505,0.526758,2.044002,82.196055
21.388469,0.563871,2.029831,82.190348
21.433431,0.577515,2.025437,82.182659
21.463406,0.580699,2.028573,82.178117
21.493355,0.576852,2.033824,82.173138
21.528350,0.578783,2.037513,82.165972
21.568314,0.577002,2.040714,82.159694
21.598289,0.579596,2.039357,82.155113
21.628238,0.584839,2.036400,82.150417
21.658236,0.587554,2.034073,82.145554
