time_tick,att_X_value,att_Y_value,att_Z_value
15.995146,-0.545437,-0.362007,-2.081299
16.025106,-0.843321,-0.306306,-2.080890
16.070082,-0.822636,-0.310518,-2.070143
16.110029,-0.538861,-0.251207,-2.056395
16.140016,-0.536886,-0.280803,-2.069777
16.169982,-0.609190,-0.298286,-2.078320
16.204940,-0.591118,-0.353340,-2.092486
16.234943,-0.588351,-0.319159,-2.095728
16.264918,-0.620982,-0.277076,-2.107488
16.294891,-0.799634,-0.199059,-2.100949
16.334856,-0.655331,0.139674,-2.125111
16.379792,-0.473953,0.187673,-2.161454
16.409792,-0.505236,0.299409,-2.164565
16.429777,-0.474496,0.335753,-2.195070
16.459752,-0.249251,0.328880,-2.245148
16.499716,-0.138590,0.345798,-2.264780
16.559664,-0.235378,0.391232,-2.263682
16.564650,-0.206989,0.380857,-2.274953
16.604629,-0.145427,0.321081,-2.282050
16.634601,-0.207127,0.353617,-2.308824
16.664576,-0.367857,0.429198,-2.273495
16.709538,-0.297263,0.496177,-2.343670
16.739512,-0.295691,0.556901,-2.354373
16.769487,-0.205878,0.555006,-2.367787
16.799434,-0.239272,0.609100,-2.380844
16.834433,-0.272843,0.704905,-2.415630
16.864401,-0.246565,0.754707,-2.442527
16.894381,-0.163262,0.803921,-2.494003
16.924357,-0.243929,0.869273,-2.524160
16.964320,-0.146308,0.949727,-2.582667
17.009275,-0.118686,0.997012,-2.566425
17.024269,-0.173625,0.955792,-2.597346
17.069212,-0.061312,0.837140,-2.654514
17.099193,-0.061482,0.913981,-2.666745
17.144166,0.056123,0.778153,-2.748469
17.174130,0.179954,0.757413,-2.802941
17.204103,0.262419,0.675258,-2.837985
17.234071,0.150263,0.623599,-2.883994
17.264039,0.053191,0.592503,-2.903357
17.294027,0.070457,0.531910,-2.915970
17.339003,0.012105,0.453687,-2.970220
17.368976,0.021084,0.423846,-2.976528
17.403948,-0.003314,0.422755,-2.993474
17.443913,-0.115700,0.390815,-3.004552
17.463898,-0.123436,0.387054,-3.015849
17.493872,0.066735,0.337647,-3.019861
17.533836,-0.186882,0.258343,-3.009924
17.563811,-0.309978,0.162607,-3.005329
17.593785,-0.214512,0.177265,-3.019737
17.638734,-0.074352,0.309149,-3.026917
17.673719,-0.261112,0.319826,-3.042282
17.698671,0.270110,0.306763,-3.060780
17.743659,0.279918,0.391130,-3.073046
17.773632,0.171163,0.371988,-3.085353
17.803590,0.177294,0.428224,-3.086138
17.833581,0.085903,0.440871,-3.094710
17.868553,-0.023293,0.432377,-3.133001
17.898528,0.160446,0.419057,-3.148430
17.938489,0.131371,0.391211,-3.160506
17.968466,-0.094347,0.372094,-3.172741
17.998441,-0.145261,0.292145,-3.206089
18.043398,-0.054910,0.254311,-3.254030
18.073367,0.003192,0.201949,-3.291567
18.103334,-0.109885,0.206950,-3.315449
18.133302,0.043523,0.122586,-3.352749
18.163301,0.052629,0.109623,-3.378117
18.208262,-0.095700,0.047669,-3.405060
18.238238,-0.038906,0.034887,-3.429588
18.268211,-0.253638,-0.098474,-3.448813
18.298187,-0.713362,-0.135585,-3.476113
18.333158,-0.676703,-0.153004,-3.533418
18.373122,-0.771667,-0.003840,-3.609750
18.403097,-0.825081,0.030907,-3.672659
18.433071,-1.089532,-0.133789,-3.722426
18.478028,-0.919953,-0.187045,-3.843998
18.498008,-1.026834,-0.418885,-3.863227
18.537909,-1.119963,-0.358126,-3.919166
18.557872,-0.844010,-0.386137,-3.952214
18.587868,-1.056627,-0.355163,-3.999544
18.632831,-0.667820,-0.410244,-4.058023
18.672770,-0.580413,-0.458791,-4.090048
18.702748,-0.533754,-0.194998,-4.105804
18.732716,-0.534038,-0.134620,-4.128900
18.767709,-0.286468,-0.188528,-4.195120
18.797671,-0.473180,-0.045630,-4.219929
18.827645,-0.626787,-0.009151,-4.231450
18.882600,-0.470973,0.076164,-4.308182
18.902600,-0.373827,0.105736,-4.341013
18.932574,-0.551948,0.147377,-4.390148
18.962549,-0.419760,0.166916,-4.454920
18.992524,-0.305950,0.180001,-4.496729
19.022499,-0.317073,0.167724,-4.543436
19.062463,-0.364896,0.262241,-4.594036
19.107411,-0.550241,0.354733,-4.664410
19.137374,-0.492068,0.347616,-4.770810
19.167364,-0.413849,0.351093,-4.913513
19.212335,-0.432034,0.384167,-5.071917
19.242310,-0.372999,0.403318,-5.471102
19.272285,-0.410317,0.403430,-6.169877
19.302258,-0.541101,0.301693,-6.774529
19.337230,-0.406728,0.361668,-7.294061
19.367205,-0.243681,0.322041,-7.552800
19.407169,-0.246787,0.301419,-7.914663
19.422139,-0.290187,0.315158,-8.087801
19.467119,-0.304746,0.384710,-8.774159
19.512074,-0.139205,0.412793,-9.605715
19.542039,-0.207669,0.490282,-10.255166
19.572015,-0.273435,0.529909,-10.957905
19.607001,-0.390055,0.542125,-11.749745
19.646965,-0.604554,0.582729,-12.064955
19.676940,-0.432742,0.559886,-12.255875
19.706915,-0.314081,0.669473,-12.477936
19.736888,-0.668400,0.650812,-12.743160
19.771861,-0.527024,0.657866,-13.266938
19.801835,-0.580502,0.656679,-13.716592
19.831809,-0.258278,0.566078,-14.144169
19.871774,-0.285414,0.624459,-14.636917
19.901748,-0.294500,0.816854,-15.076048
19.936715,-0.408256,0.877157,-15.674552
19.966684,-0.496505,0.906631,-16.102774
20.006659,-0.437218,0.896455,-16.468959
20.036633,-0.322866,0.912486,-16.761679
20.071605,-0.489002,0.922268,-17.039299
20.096584,-0.551540,0.863419,-17.171203
20.131555,-0.389531,0.887656,-17.418985
20.171520,-0.301405,0.794312,-17.956818
20.201474,-0.335716,0.690993,-18.353835
20.236465,-0.227833,0.650136,-19.156130
20.261434,-0.197070,0.618646,-19.705991
20.306404,-0.373228,0.668773,-20.737559
20.336378,-0.202358,0.630900,-21.592422
20.371347,-0.438545,0.587393,-22.772789
20.401325,-0.528431,0.499952,-23.708470
20.431299,-0.703347,0.474046,-24.490275
20.461273,-0.611385,0.431691,-24.973129
20.491248,-0.760475,0.301114,-25.265350
20.531209,-0.573819,0.403875,-25.433685
20.561187,-0.619399,0.389315,-25.498262
20.606135,-0.935062,0.380294,-25.606652
20.636118,-0.756993,0.373774,-25.695742
20.681086,-0.763730,0.317157,-26.061063
20.711060,-0.871644,0.219425,-26.474869
20.731044,-1.015039,0.269264,-26.799408
20.771008,-1.116958,0.207515,-27.434933
20.800983,-1.248124,0.105996,-27.593403
20.835955,-1.246980,0.166718,-27.721857
20.875920,-1.233154,0.227235,-28.076095
20.905893,-1.163401,0.561078,-28.371243
20.940866,-1.040241,0.735085,-29.034917
